,cases,deaths
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,2,0
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,3,0
2020-03-05,6,0
2020-03-06,10,0
2020-03-07,13,0
2020-03-08,16,0
2020-03-09,16,0
2020-03-10,19,0
2020-03-11,30,0
2020-03-12,42,0
2020-03-13,56,0
2020-03-14,65,0
2020-03-15,136,0
2020-03-16,152,0
2020-03-17,164,1
2020-03-18,240,4
2020-03-19,286,4
2020-03-20,396,9
2020-03-21,459,15
2020-03-22,631,22
2020-03-23,745,30
2020-03-24,810,40
2020-03-25,862,48
2020-03-26,1052,58
2020-03-27,1223,68
2020-03-28,1406,84
2020-03-29,1451,98
2020-03-30,1517,113
2020-03-31,2339,136
2020-04-01,2981,164
2020-04-02,3506,188
2020-04-03,4048,219
2020-04-04,4466,260
2020-04-05,4620,275
2020-04-06,4866,304
2020-04-07,5682,371
2020-04-08,6708,428
2020-04-09,7480,496
2020-04-10,8216,540
2020-04-11,8419,560
2020-04-12,8755,588
2020-04-13,8895,608
2020-04-14,9371,695
2020-04-15,11043,778
